category,question,options,correct
"القرآن","ما الطريقة الصحيحة للدعاء كما ورد","أن تبدأ بطلب الحاجة مباشرة, أن تبدأ الدعاء بالحمد والثناء على الله ثم تسأله ما تريد, أن تدعو دون ترتيب أو تمهيد, أن تدعو فقط عند الشدائد والأزمات","أن تبدأ الدعاء بالحمد والثناء على الله ثم تسأله ما تريد"
"القرآن","في قول الله تعالى: ""صِراطَ الَّذينَ أَنعَمتَ عَلَيهِم غَيرِ المَغضوبِ عَلَيهِم وَلَا الضّالّينَ"" من المقصود بـ ""المغضوب عليهم"" في هذه الآية؟","اليهود و من شابههم في ترك العمل بالعلم (تقديم الهوى على الشرع), الذين لم تبلغهم الرسالة, النصارى و من شابههم في العمل بغير علم(العبادة بالبدعة و الجهل), الملحدون والمشركون","اليهود و من شابههم في ترك العمل بالعلم (تقديم الهوى على الشرع)"
"القرآن","في قول الله تعالى: ""صِراطَ الَّذينَ أَنعَمتَ عَلَيهِم غَيرِ المَغضوبِ عَلَيهِم وَلَا الضّالّينَ"" من المقصود بـ ""الضالين"" في هذه الآية؟","اليهود و من شابههم في ترك العمل بالعلم (تقديم الهوى على الشرع), الذين لم تبلغهم الرسالة, النصارى و من شابههم في العمل بغير علم(العبادة بالبدعة و الجهل), المرتدون عن الإسلام","النصارى و من شابههم في العمل بغير علم(العبادة بالبدعة و الجهل)"
"القرآن","في بداية سورة البقرة، كم عدد الآيات التي تحدثت عن المؤمنين، وكم عن الكافرين، وكم عن المنافقين؟","ثلاث عشرة آية للمؤمنين، آيتين للكافرين، أربع آيات للمنافقين, آيتين للمؤمنين، ثلاث عشرة آية للكافرين، أربع آيات للمنافقين, أربع آيات للمؤمنين، سته آيات للكافرين، سته آيات للمنافقين, أربع آيات للمؤمنين، آيتين للكافرين، ثلاث عشرة آية للمنافقين","أربع آيات للمؤمنين، آيتين للكافرين، ثلاث عشرة آية للمنافقين"
"القرآن","في قوله تعالى: ""ختم الله على قلوبهم""، ما دلالة ""الختم"" هنا؟","الرحمة, الطبع, الهدى, العقاب","الطبع"
"القرآن","في قوله تعالى: ""صمٌّ بُكمٌ عُميٌ فَهُم لا يَرجِعون"" ما معنى كلمة ""بكم"" في الآية؟","لا يستطيعون الكلام, لا يسمعون, لا ينطقون بالحق, لا يتكلمون بسبب الخوف","لا ينطقون بالحق"
"القرآن","أكمل العبارة التالية: ""من صفات ________ احتقار الصالحين والتقليل من شأنهم.""","المؤمنين, الكافرين, الصالحين, المنافقين","المنافقين"
"القرآن","هل العبارة التالية صحيحة أم خاطئة؟ ""المعصية قد تكون سببًا لأن يختم الله على القلب، فلا يستطيع الوصول إلى الحق.""","صحيحة, خطأ, صحيحة جزئيًا, غير واضحة في النصوص","صحيحة"
"القرآن","في قوله تعالى: ""مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا"" من المقصود بالمَثل في هذه الآية؟","الكافرين, المتقين, المنافقين, المسلمين الجدد","المنافقين"
"القرآن","في قوله تعالى: ""أتَجعَلُ فيها مَن يُفسِدُ فيها ويَسفِكُ الدِماءَ ونَحنُ نُسَبِّحُ بحَمدِكَ ونُقَدِّسُ لَكَ"" هل كان قول الملائكة هذا:","اعتراضًا على أمر الله؟, حسدًا لبني آدم؟, سؤال استعلام واستكشاف عن الحكمة من ذلك؟, محاولة لإثبات أنهم أفضل من البشر","سؤال استعلام واستكشاف عن الحكمة من ذلك؟"
